COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
SISKIYOU,2019,Race/ethnicity,AI/AN,All ages,13,98.2
SOLANO,2019,Race/ethnicity,AI/AN,All ages,NA,NA
SONOMA,2019,Race/ethnicity,AI/AN,All ages,NA,NA
STANISLAUS,2019,Race/ethnicity,AI/AN,All ages,NA,NA
SUTTER,2019,Race/ethnicity,AI/AN,All ages,NA,NA
TEHAMA,2019,Race/ethnicity,AI/AN,All ages,NA,NA
TRINITY,2019,Race/ethnicity,AI/AN,All ages,0,0
TULARE,2019,Race/ethnicity,AI/AN,All ages,NA,NA
TUOLUMNE,2019,Race/ethnicity,AI/AN,All ages,NA,NA
VENTURA,2019,Race/ethnicity,AI/AN,All ages,0,0
YOLO,2019,Race/ethnicity,AI/AN,All ages,NA,NA
YUBA,2019,Race/ethnicity,AI/AN,All ages,NA,NA
CALIFORNIA,2019,Race/ethnicity,NHPI,All ages,1481,107.4
ALAMEDA,2019,Race/ethnicity,NHPI,All ages,196,145.5
ALPINE,2019,Race/ethnicity,NHPI,All ages,0,0
AMADOR,2019,Race/ethnicity,NHPI,All ages,0,0
BUTTE,2019,Race/ethnicity,NHPI,All ages,0,0
CALAVERAS,2019,Race/ethnicity,NHPI,All ages,0,0
COLUSA,2019,Race/ethnicity,NHPI,All ages,NA,NA
CONTRA COSTA,2019,Race/ethnicity,NHPI,All ages,107,195
DEL NORTE,2019,Race/ethnicity,NHPI,All ages,0,0
EL DORADO,2019,Race/ethnicity,NHPI,All ages,NA,NA
FRESNO,2019,Race/ethnicity,NHPI,All ages,NA,NA
GLENN,2019,Race/ethnicity,NHPI,All ages,NA,NA
HUMBOLDT,2019,Race/ethnicity,NHPI,All ages,NA,NA
IMPERIAL,2019,Race/ethnicity,NHPI,All ages,0,0
INYO,2019,Race/ethnicity,NHPI,All ages,0,0
KERN,2019,Race/ethnicity,NHPI,All ages,NA,NA
KINGS,2019,Race/ethnicity,NHPI,All ages,NA,NA
LAKE,2019,Race/ethnicity,NHPI,All ages,NA,NA
LASSEN,2019,Race/ethnicity,NHPI,All ages,NA,NA
LOS ANGELES,2019,Race/ethnicity,NHPI,All ages,250,103.4
MADERA,2019,Race/ethnicity,NHPI,All ages,0,0
MARIN,2019,Race/ethnicity,NHPI,All ages,NA,NA
MARIPOSA,2019,Race/ethnicity,NHPI,All ages,NA,NA
MENDOCINO,2019,Race/ethnicity,NHPI,All ages,NA,NA
MERCED,2019,Race/ethnicity,NHPI,All ages,NA,NA
MODOC,2019,Race/ethnicity,NHPI,All ages,NA,NA
MONO,2019,Race/ethnicity,NHPI,All ages,0,0
MONTEREY,2019,Race/ethnicity,NHPI,All ages,NA,NA
NAPA,2019,Race/ethnicity,NHPI,All ages,NA,NA
NEVADA,2019,Race/ethnicity,NHPI,All ages,NA,NA
ORANGE,2019,Race/ethnicity,NHPI,All ages,66,76.8
PLACER,2019,Race/ethnicity,NHPI,All ages,NA,NA
PLUMAS,2019,Race/ethnicity,NHPI,All ages,0,0
RIVERSIDE,2019,Race/ethnicity,NHPI,All ages,39,59.7
SACRAMENTO,2019,Race/ethnicity,NHPI,All ages,200,129.4
SAN BENITO,2019,Race/ethnicity,NHPI,All ages,NA,NA
SAN BERNARDINO,2019,Race/ethnicity,NHPI,All ages,36,60
SAN DIEGO,2019,Race/ethnicity,NHPI,All ages,78,56.7
SAN FRANCISCO,2019,Race/ethnicity,NHPI,All ages,79,270.6
SAN JOAQUIN,2019,Race/ethnicity,NHPI,All ages,48,139.6
SAN LUIS OBISPO,2019,Race/ethnicity,NHPI,All ages,NA,NA
SAN MATEO,2019,Race/ethnicity,NHPI,All ages,117,103.4
SANTA BARBARA,2019,Race/ethnicity,NHPI,All ages,NA,NA
SANTA CLARA,2019,Race/ethnicity,NHPI,All ages,70,107.8
SANTA CRUZ,2019,Race/ethnicity,NHPI,All ages,NA,NA
SHASTA,2019,Race/ethnicity,NHPI,All ages,NA,NA
SIERRA,2019,Race/ethnicity,NHPI,All ages,0,0
SISKIYOU,2019,Race/ethnicity,NHPI,All ages,0,0
SOLANO,2019,Race/ethnicity,NHPI,All ages,77,227
SONOMA,2019,Race/ethnicity,NHPI,All ages,11,NA
STANISLAUS,2019,Race/ethnicity,NHPI,All ages,25,82.6
SUTTER,2019,Race/ethnicity,NHPI,All ages,NA,NA
TEHAMA,2019,Race/ethnicity,NHPI,All ages,NA,NA
TRINITY,2019,Race/ethnicity,NHPI,All ages,0,0
TULARE,2019,Race/ethnicity,NHPI,All ages,NA,NA
TUOLUMNE,2019,Race/ethnicity,NHPI,All ages,0,0
VENTURA,2019,Race/ethnicity,NHPI,All ages,NA,NA
YOLO,2019,Race/ethnicity,NHPI,All ages,NA,NA
YUBA,2019,Race/ethnicity,NHPI,All ages,NA,NA
CALIFORNIA,2019,Race/ethnicity,Multi-Race,All ages,1993,17.2
ALAMEDA,2019,Race/ethnicity,Multi-Race,All ages,164,23
ALPINE,2019,Race/ethnicity,Multi-Race,All ages,0,0
AMADOR,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
BUTTE,2019,Race/ethnicity,Multi-Race,All ages,0,0
CALAVERAS,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
COLUSA,2019,Race/ethnicity,Multi-Race,All ages,0,0
CONTRA COSTA,2019,Race/ethnicity,Multi-Race,All ages,121,24.4
DEL NORTE,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
EL DORADO,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
FRESNO,2019,Race/ethnicity,Multi-Race,All ages,129,45.4
GLENN,2019,Race/ethnicity,Multi-Race,All ages,0,0
HUMBOLDT,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
IMPERIAL,2019,Race/ethnicity,Multi-Race,All ages,0,0
INYO,2019,Race/ethnicity,Multi-Race,All ages,0,0
KERN,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
KINGS,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
LAKE,2019,Race/ethnicity,Multi-Race,All ages,14,88
LASSEN,2019,Race/ethnicity,Multi-Race,All ages,0,0
LOS ANGELES,2019,Race/ethnicity,Multi-Race,All ages,349,17
MADERA,2019,Race/ethnicity,Multi-Race,All ages,20,94.4
MARIN,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
MARIPOSA,2019,Race/ethnicity,Multi-Race,All ages,0,0
MENDOCINO,2019,Race/ethnicity,Multi-Race,All ages,0,0
MERCED,2019,Race/ethnicity,Multi-Race,All ages,15,24.4
MODOC,2019,Race/ethnicity,Multi-Race,All ages,0,0
MONO,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
MONTEREY,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
NAPA,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
NEVADA,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
ORANGE,2019,Race/ethnicity,Multi-Race,All ages,35,5.2
PLACER,2019,Race/ethnicity,Multi-Race,All ages,31,21.9
PLUMAS,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
RIVERSIDE,2019,Race/ethnicity,Multi-Race,All ages,108,18.6
SACRAMENTO,2019,Race/ethnicity,Multi-Race,All ages,236,30
SAN BENITO,2019,Race/ethnicity,Multi-Race,All ages,0,0
SAN BERNARDINO,2019,Race/ethnicity,Multi-Race,All ages,71,13.6
SAN DIEGO,2019,Race/ethnicity,Multi-Race,All ages,149,10.1
SAN FRANCISCO,2019,Race/ethnicity,Multi-Race,All ages,73,21.4
SAN JOAQUIN,2019,Race/ethnicity,Multi-Race,All ages,76,32
SAN LUIS OBISPO,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
SAN MATEO,2019,Race/ethnicity,Multi-Race,All ages,29,8.4
SANTA BARBARA,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
SANTA CLARA,2019,Race/ethnicity,Multi-Race,All ages,57,9.1
SANTA CRUZ,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
SHASTA,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
SIERRA,2019,Race/ethnicity,Multi-Race,All ages,0,0
SISKIYOU,2019,Race/ethnicity,Multi-Race,All ages,0,0
SOLANO,2019,Race/ethnicity,Multi-Race,All ages,88,33
SONOMA,2019,Race/ethnicity,Multi-Race,All ages,14,11
STANISLAUS,2019,Race/ethnicity,Multi-Race,All ages,27,13.8
SUTTER,2019,Race/ethnicity,Multi-Race,All ages,0,0
TEHAMA,2019,Race/ethnicity,Multi-Race,All ages,0,0
TRINITY,2019,Race/ethnicity,Multi-Race,All ages,0,0
TULARE,2019,Race/ethnicity,Multi-Race,All ages,11,NA
TUOLUMNE,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
VENTURA,2019,Race/ethnicity,Multi-Race,All ages,22,10.9
YOLO,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
YUBA,2019,Race/ethnicity,Multi-Race,All ages,NA,NA
CALIFORNIA,2020,Total population,All ages,All ages,97238,25.1
ALAMEDA,2020,Total population,All ages,All ages,4282,25.8
ALPINE,2020,Total population,All ages,All ages,0,0
AMADOR,2020,Total population,All ages,All ages,103,31.2
BUTTE,2020,Total population,All ages,All ages,474,24.2
CALAVERAS,2020,Total population,All ages,All ages,111,30.4
COLUSA,2020,Total population,All ages,All ages,49,24
CONTRA COSTA,2020,Total population,All ages,All ages,3040,27.5
DEL NORTE,2020,Total population,All ages,All ages,104,40.6
EL DORADO,2020,Total population,All ages,All ages,351,20.6
FRESNO,2020,Total population,All ages,All ages,3504,34
GLENN,2020,Total population,All ages,All ages,55,19.5
HUMBOLDT,2020,Total population,All ages,All ages,443,36
IMPERIAL,2020,Total population,All ages,All ages,474,25.1
INYO,2020,Total population,All ages,All ages,47,28.3
KERN,2020,Total population,All ages,All ages,2532,27.7
KINGS,2020,Total population,All ages,All ages,426,27.1
LAKE,2020,Total population,All ages,All ages,269,46.8
LASSEN,2020,Total population,All ages,All ages,90,33.4
LOS ANGELES,2020,Total population,All ages,All ages,25920,26.2
MADERA,2020,Total population,All ages,All ages,475,30.8
MARIN,2020,Total population,All ages,All ages,280,11.7
MARIPOSA,2020,Total population,All ages,All ages,31,22.8
MENDOCINO,2020,Total population,All ages,All ages,315,39.8
MERCED,2020,Total population,All ages,All ages,1034,37.1
MODOC,2020,Total population,All ages,All ages,43,57.3
MONO,2020,Total population,All ages,All ages,40,33.3
MONTEREY,2020,Total population,All ages,All ages,917,21.3
NAPA,2020,Total population,All ages,All ages,322,22.7
NEVADA,2020,Total population,All ages,All ages,174,21.6
ORANGE,2020,Total population,All ages,All ages,4870,15.9
PLACER,2020,Total population,All ages,All ages,623,16.7
PLUMAS,2020,Total population,All ages,All ages,57,42.2
RIVERSIDE,2020,Total population,All ages,All ages,5888,24.9
SACRAMENTO,2020,Total population,All ages,All ages,5489,35.7
SAN BENITO,2020,Total population,All ages,All ages,219,36.5
SAN BERNARDINO,2020,Total population,All ages,All ages,6763,31.1
SAN DIEGO,2020,Total population,All ages,All ages,5749,17.5
SAN FRANCISCO,2020,Total population,All ages,All ages,1437,16.6
SAN JOAQUIN,2020,Total population,All ages,All ages,2945,38.6
SAN LUIS OBISPO,2020,Total population,All ages,All ages,432,18.3
SAN MATEO,2020,Total population,All ages,All ages,1082,14
SANTA BARBARA,2020,Total population,All ages,All ages,680,15.5
SANTA CLARA,2020,Total population,All ages,All ages,2814,14.5
SANTA CRUZ,2020,Total population,All ages,All ages,458,17.3
SHASTA,2020,Total population,All ages,All ages,402,24.8
SIERRA,2020,Total population,All ages,All ages,NA,NA
SISKIYOU,2020,Total population,All ages,All ages,86,24.8
SOLANO,2020,Total population,All ages,All ages,1770,41.7
SONOMA,2020,Total population,All ages,All ages,884,18.8
STANISLAUS,2020,Total population,All ages,All ages,1804,32.8
SUTTER,2020,Total population,All ages,All ages,183,18.8
TEHAMA,2020,Total population,All ages,All ages,173,28
TRINITY,2020,Total population,All ages,All ages,27,28.5
TULARE,2020,Total population,All ages,All ages,1135,23.8
TUOLUMNE,2020,Total population,All ages,All ages,129,28.6
VENTURA,2020,Total population,All ages,All ages,1394,17.4
YOLO,2020,Total population,All ages,All ages,456,22.8
YUBA,2020,Total population,All ages,All ages,191,25
CALIFORNIA,2020,Child vs. adult,0–17 years,0–17 years,22649,25.2
ALAMEDA,2020,Child vs. adult,0–17 years,0–17 years,826,24.1
ALPINE,2020,Child vs. adult,0–17 years,0–17 years,0,0
AMADOR,2020,Child vs. adult,0–17 years,0–17 years,17,30.3
BUTTE,2020,Child vs. adult,0–17 years,0–17 years,78,18.5
CALAVERAS,2020,Child vs. adult,0–17 years,0–17 years,19,28.4
COLUSA,2020,Child vs. adult,0–17 years,0–17 years,13,23.2
CONTRA COSTA,2020,Child vs. adult,0–17 years,0–17 years,645,26.8
DEL NORTE,2020,Child vs. adult,0–17 years,0–17 years,25,45.6
EL DORADO,2020,Child vs. adult,0–17 years,0–17 years,66,18.1
FRESNO,2020,Child vs. adult,0–17 years,0–17 years,1462,51.8
GLENN,2020,Child vs. adult,0–17 years,0–17 years,13,17.4
HUMBOLDT,2020,Child vs. adult,0–17 years,0–17 years,67,24.3
IMPERIAL,2020,Child vs. adult,0–17 years,0–17 years,170,32.5
INYO,2020,Child vs. adult,0–17 years,0–17 years,18,48.3
KERN,2020,Child vs. adult,0–17 years,0–17 years,752,29.8
KINGS,2020,Child vs. adult,0–17 years,0–17 years,157,33.9
LAKE,2020,Child vs. adult,0–17 years,0–17 years,57,42.4
LASSEN,2020,Child vs. adult,0–17 years,0–17 years,NA,NA
LOS ANGELES,2020,Child vs. adult,0–17 years,0–17 years,6338,28.9
MADERA,2020,Child vs. adult,0–17 years,0–17 years,196,48.7
MARIN,2020,Child vs. adult,0–17 years,0–17 years,52,11.7
MARIPOSA,2020,Child vs. adult,0–17 years,0–17 years,NA,NA
MENDOCINO,2020,Child vs. adult,0–17 years,0–17 years,58,31.3
MERCED,2020,Child vs. adult,0–17 years,0–17 years,304,38.6
MODOC,2020,Child vs. adult,0–17 years,0–17 years,12,70.1
MONO,2020,Child vs. adult,0–17 years,0–17 years,13,51.3
MONTEREY,2020,Child vs. adult,0–17 years,0–17 years,242,21.4
NAPA,2020,Child vs. adult,0–17 years,0–17 years,53,19.8
NEVADA,2020,Child vs. adult,0–17 years,0–17 years,18,12.1
ORANGE,2020,Child vs. adult,0–17 years,0–17 years,1336,19.1
PLACER,2020,Child vs. adult,0–17 years,0–17 years,111,15.2
PLUMAS,2020,Child vs. adult,0–17 years,0–17 years,NA,NA
RIVERSIDE,2020,Child vs. adult,0–17 years,0–17 years,1372,23.3
SACRAMENTO,2020,Child vs. adult,0–17 years,0–17 years,1069,29.6
SAN BENITO,2020,Child vs. adult,0–17 years,0–17 years,46,32.3
SAN BERNARDINO,2020,Child vs. adult,0–17 years,0–17 years,1501,26.4
SAN DIEGO,2020,Child vs. adult,0–17 years,0–17 years,1521,18.9
SAN FRANCISCO,2020,Child vs. adult,0–17 years,0–17 years,274,19.8
SAN JOAQUIN,2020,Child vs. adult,0–17 years,0–17 years,692,34.9
SAN LUIS OBISPO,2020,Child vs. adult,0–17 years,0–17 years,77,15.9
SAN MATEO,2020,Child vs. adult,0–17 years,0–17 years,196,12.2
SANTA BARBARA,2020,Child vs. adult,0–17 years,0–17 years,137,13.6
SANTA CLARA,2020,Child vs. adult,0–17 years,0–17 years,479,11.1
SANTA CRUZ,2020,Child vs. adult,0–17 years,0–17 years,79,13.7
SHASTA,2020,Child vs. adult,0–17 years,0–17 years,76,20
SIERRA,2020,Child vs. adult,0–17 years,0–17 years,0,0
SISKIYOU,2020,Child vs. adult,0–17 years,0–17 years,13,15.4
SOLANO,2020,Child vs. adult,0–17 years,0–17 years,373,38.5
SONOMA,2020,Child vs. adult,0–17 years,0–17 years,149,16.4
STANISLAUS,2020,Child vs. adult,0–17 years,0–17 years,484,33.9
SUTTER,2020,Child vs. adult,0–17 years,0–17 years,44,18.2
TEHAMA,2020,Child vs. adult,0–17 years,0–17 years,34,23
TRINITY,2020,Child vs. adult,0–17 years,0–17 years,NA,NA
TULARE,2020,Child vs. adult,0–17 years,0–17 years,375,26.7
TUOLUMNE,2020,Child vs. adult,0–17 years,0–17 years,31,37.3
VENTURA,2020,Child vs. adult,0–17 years,0–17 years,339,18.2
YOLO,2020,Child vs. adult,0–17 years,0–17 years,77,15.6
YUBA,2020,Child vs. adult,0–17 years,0–17 years,38,17.6
CALIFORNIA,2020,Child vs. adult,18+ years,18+ years,74589,25.1
ALAMEDA,2020,Child vs. adult,18+ years,18+ years,3456,26.4
ALPINE,2020,Child vs. adult,18+ years,18+ years,0,0
AMADOR,2020,Child vs. adult,18+ years,18+ years,86,31.5
BUTTE,2020,Child vs. adult,18+ years,18+ years,396,26.2
CALAVERAS,2020,Child vs. adult,18+ years,18+ years,92,31.1
COLUSA,2020,Child vs. adult,18+ years,18+ years,36,24.3
CONTRA COSTA,2020,Child vs. adult,18+ years,18+ years,2395,27.7
DEL NORTE,2020,Child vs. adult,18+ years,18+ years,79,38.8
EL DORADO,2020,Child vs. adult,18+ years,18+ years,285,21.5
FRESNO,2020,Child vs. adult,18+ years,18+ years,2042,27.9
GLENN,2020,Child vs. adult,18+ years,18+ years,42,20.2
HUMBOLDT,2020,Child vs. adult,18+ years,18+ years,376,40
IMPERIAL,2020,Child vs. adult,18+ years,18+ years,304,22.5
INYO,2020,Child vs. adult,18+ years,18+ years,29,21.4
KERN,2020,Child vs. adult,18+ years,18+ years,1780,26.9
KINGS,2020,Child vs. adult,18+ years,18+ years,269,24.7
LAKE,2020,Child vs. adult,18+ years,18+ years,212,48.4
LASSEN,2020,Child vs. adult,18+ years,18+ years,82,39.5
LOS ANGELES,2020,Child vs. adult,18+ years,18+ years,19582,25.3
MADERA,2020,Child vs. adult,18+ years,18+ years,279,24.6
MARIN,2020,Child vs. adult,18+ years,18+ years,228,11.8
MARIPOSA,2020,Child vs. adult,18+ years,18+ years,21,18.1
MENDOCINO,2020,Child vs. adult,18+ years,18+ years,257,42.8
MERCED,2020,Child vs. adult,18+ years,18+ years,730,36.6
MODOC,2020,Child vs. adult,18+ years,18+ years,31,52.8
MONO,2020,Child vs. adult,18+ years,18+ years,27,27.1
MONTEREY,2020,Child vs. adult,18+ years,18+ years,675,21.2
NAPA,2020,Child vs. adult,18+ years,18+ years,269,23.7
NEVADA,2020,Child vs. adult,18+ years,18+ years,156,24.9
ORANGE,2020,Child vs. adult,18+ years,18+ years,3534,14.8
PLACER,2020,Child vs. adult,18+ years,18+ years,512,17.2
PLUMAS,2020,Child vs. adult,18+ years,18+ years,50,48.6
RIVERSIDE,2020,Child vs. adult,18+ years,18+ years,4516,25.4
SACRAMENTO,2020,Child vs. adult,18+ years,18+ years,4420,37.8
SAN BENITO,2020,Child vs. adult,18+ years,18+ years,173,38
SAN BERNARDINO,2020,Child vs. adult,18+ years,18+ years,5262,32.7
SAN DIEGO,2020,Child vs. adult,18+ years,18+ years,4228,17.1
SAN FRANCISCO,2020,Child vs. adult,18+ years,18+ years,1163,15.4
SAN JOAQUIN,2020,Child vs. adult,18+ years,18+ years,2253,39.9
SAN LUIS OBISPO,2020,Child vs. adult,18+ years,18+ years,355,19.1
SAN MATEO,2020,Child vs. adult,18+ years,18+ years,886,14.6
SANTA BARBARA,2020,Child vs. adult,18+ years,18+ years,543,16.1
SANTA CLARA,2020,Child vs. adult,18+ years,18+ years,2335,15.7
SANTA CRUZ,2020,Child vs. adult,18+ years,18+ years,379,18.5
SHASTA,2020,Child vs. adult,18+ years,18+ years,326,26.5
SIERRA,2020,Child vs. adult,18+ years,18+ years,NA,NA
SISKIYOU,2020,Child vs. adult,18+ years,18+ years,73,28
SOLANO,2020,Child vs. adult,18+ years,18+ years,1397,42.9
SONOMA,2020,Child vs. adult,18+ years,18+ years,735,19.6
STANISLAUS,2020,Child vs. adult,18+ years,18+ years,1320,32.5
SUTTER,2020,Child vs. adult,18+ years,18+ years,139,19.1
TEHAMA,2020,Child vs. adult,18+ years,18+ years,139,29.8
TRINITY,2020,Child vs. adult,18+ years,18+ years,22,30.4
TULARE,2020,Child vs. adult,18+ years,18+ years,760,22.8
TUOLUMNE,2020,Child vs. adult,18+ years,18+ years,98,25.5
VENTURA,2020,Child vs. adult,18+ years,18+ years,1055,17
YOLO,2020,Child vs. adult,18+ years,18+ years,379,25.3
YUBA,2020,Child vs. adult,18+ years,18+ years,153,27.6
CALIFORNIA,2020,Age groups,0–4 years,0–4 years,6435,27.7
ALAMEDA,2020,Age groups,0–4 years,0–4 years,232,25.1
ALPINE,2020,Age groups,0–4 years,0–4 years,0,0
AMADOR,2020,Age groups,0–4 years,0–4 years,NA,NA
BUTTE,2020,Age groups,0–4 years,0–4 years,28,25.2
CALAVERAS,2020,Age groups,0–4 years,0–4 years,NA,NA
COLUSA,2020,Age groups,0–4 years,0–4 years,NA,NA
CONTRA COSTA,2020,Age groups,0–4 years,0–4 years,172,28
DEL NORTE,2020,Age groups,0–4 years,0–4 years,NA,NA
EL DORADO,2020,Age groups,0–4 years,0–4 years,NA,NA
FRESNO,2020,Age groups,0–4 years,0–4 years,526,70.6
GLENN,2020,Age groups,0–4 years,0–4 years,0,0
HUMBOLDT,2020,Age groups,0–4 years,0–4 years,12,17.4
IMPERIAL,2020,Age groups,0–4 years,0–4 years,21,14.5
INYO,2020,Age groups,0–4 years,0–4 years,NA,NA
KERN,2020,Age groups,0–4 years,0–4 years,213,32
KINGS,2020,Age groups,0–4 years,0–4 years,58,50
LAKE,2020,Age groups,0–4 years,0–4 years,15,40.9
LASSEN,2020,Age groups,0–4 years,0–4 years,NA,NA
LOS ANGELES,2020,Age groups,0–4 years,0–4 years,1741,30.9
MADERA,2020,Age groups,0–4 years,0–4 years,72,67.5
MARIN,2020,Age groups,0–4 years,0–4 years,15,15.8
MARIPOSA,2020,Age groups,0–4 years,0–4 years,NA,NA
MENDOCINO,2020,Age groups,0–4 years,0–4 years,NA,NA
MERCED,2020,Age groups,0–4 years,0–4 years,110,53.4
MODOC,2020,Age groups,0–4 years,0–4 years,NA,NA
MONO,2020,Age groups,0–4 years,0–4 years,NA,NA
MONTEREY,2020,Age groups,0–4 years,0–4 years,59,20.1
NAPA,2020,Age groups,0–4 years,0–4 years,15,23.3
NEVADA,2020,Age groups,0–4 years,0–4 years,NA,NA
ORANGE,2020,Age groups,0–4 years,0–4 years,444,24.2
PLACER,2020,Age groups,0–4 years,0–4 years,31,16.5
PLUMAS,2020,Age groups,0–4 years,0–4 years,NA,NA
RIVERSIDE,2020,Age groups,0–4 years,0–4 years,356,23.5
SACRAMENTO,2020,Age groups,0–4 years,0–4 years,315,32.4
SAN BENITO,2020,Age groups,0–4 years,0–4 years,NA,NA
SAN BERNARDINO,2020,Age groups,0–4 years,0–4 years,356,24.2
SAN DIEGO,2020,Age groups,0–4 years,0–4 years,512,24.5
SAN FRANCISCO,2020,Age groups,0–4 years,0–4 years,91,21.7
SAN JOAQUIN,2020,Age groups,0–4 years,0–4 years,208,41.1
SAN LUIS OBISPO,2020,Age groups,0–4 years,0–4 years,19,15.5
SAN MATEO,2020,Age groups,0–4 years,0–4 years,55,13.2
SANTA BARBARA,2020,Age groups,0–4 years,0–4 years,25,9.2
SANTA CLARA,2020,Age groups,0–4 years,0–4 years,117,10.9
SANTA CRUZ,2020,Age groups,0–4 years,0–4 years,15,11
SHASTA,2020,Age groups,0–4 years,0–4 years,21,20.8
SIERRA,2020,Age groups,0–4 years,0–4 years,0,0
SISKIYOU,2020,Age groups,0–4 years,0–4 years,NA,NA
SOLANO,2020,Age groups,0–4 years,0–4 years,96,38.3
SONOMA,2020,Age groups,0–4 years,0–4 years,31,14.5
STANISLAUS,2020,Age groups,0–4 years,0–4 years,123,32.7
SUTTER,2020,Age groups,0–4 years,0–4 years,NA,NA
TEHAMA,2020,Age groups,0–4 years,0–4 years,NA,NA
TRINITY,2020,Age groups,0–4 years,0–4 years,NA,NA
TULARE,2020,Age groups,0–4 years,0–4 years,111,31.1
TUOLUMNE,2020,Age groups,0–4 years,0–4 years,NA,NA
VENTURA,2020,Age groups,0–4 years,0–4 years,80,17.3
YOLO,2020,Age groups,0–4 years,0–4 years,20,17.3
YUBA,2020,Age groups,0–4 years,0–4 years,14,23.9
CALIFORNIA,2020,Age groups,5–17 years,5–17 years,16214,24.3
ALAMEDA,2020,Age groups,5–17 years,5–17 years,594,23.7
ALPINE,2020,Age groups,5–17 years,5–17 years,0,0
AMADOR,2020,Age groups,5–17 years,5–17 years,13,31.7
BUTTE,2020,Age groups,5–17 years,5–17 years,50,16.1
CALAVERAS,2020,Age groups,5–17 years,5–17 years,16,33.2
COLUSA,2020,Age groups,5–17 years,5–17 years,NA,NA
CONTRA COSTA,2020,Age groups,5–17 years,5–17 years,473,26.4
DEL NORTE,2020,Age groups,5–17 years,5–17 years,20,49.3
EL DORADO,2020,Age groups,5–17 years,5–17 years,56,20.3
FRESNO,2020,Age groups,5–17 years,5–17 years,936,44.9
GLENN,2020,Age groups,5–17 years,5–17 years,13,23.8
HUMBOLDT,2020,Age groups,5–17 years,5–17 years,55,26.8
IMPERIAL,2020,Age groups,5–17 years,5–17 years,149,39.1
INYO,2020,Age groups,5–17 years,5–17 years,13,46.3
KERN,2020,Age groups,5–17 years,5–17 years,539,29
KINGS,2020,Age groups,5–17 years,5–17 years,99,28
LAKE,2020,Age groups,5–17 years,5–17 years,42,42.9
LASSEN,2020,Age groups,5–17 years,5–17 years,NA,NA
LOS ANGELES,2020,Age groups,5–17 years,5–17 years,4597,28.2
MADERA,2020,Age groups,5–17 years,5–17 years,124,41.8
MARIN,2020,Age groups,5–17 years,5–17 years,37,10.1
MARIPOSA,2020,Age groups,5–17 years,5–17 years,NA,NA
MENDOCINO,2020,Age groups,5–17 years,5–17 years,47,34.2
MERCED,2020,Age groups,5–17 years,5–17 years,194,33.2
MODOC,2020,Age groups,5–17 years,5–17 years,NA,NA
MONO,2020,Age groups,5–17 years,5–17 years,NA,NA
MONTEREY,2020,Age groups,5–17 years,5–17 years,183,21.9
NAPA,2020,Age groups,5–17 years,5–17 years,38,18.6
NEVADA,2020,Age groups,5–17 years,5–17 years,12,10.8
ORANGE,2020,Age groups,5–17 years,5–17 years,892,17.2
PLACER,2020,Age groups,5–17 years,5–17 years,80,14.7
PLUMAS,2020,Age groups,5–17 years,5–17 years,NA,NA
RIVERSIDE,2020,Age groups,5–17 years,5–17 years,1016,23.3
SACRAMENTO,2020,Age groups,5–17 years,5–17 years,754,28.6
SAN BENITO,2020,Age groups,5–17 years,5–17 years,39,37.1
SAN BERNARDINO,2020,Age groups,5–17 years,5–17 years,1145,27.2
SAN DIEGO,2020,Age groups,5–17 years,5–17 years,1009,16.9
SAN FRANCISCO,2020,Age groups,5–17 years,5–17 years,183,19.2
SAN JOAQUIN,2020,Age groups,5–17 years,5–17 years,484,32.6
SAN LUIS OBISPO,2020,Age groups,5–17 years,5–17 years,58,16.1
SAN MATEO,2020,Age groups,5–17 years,5–17 years,141,11.8
SANTA BARBARA,2020,Age groups,5–17 years,5–17 years,112,15.2
SANTA CLARA,2020,Age groups,5–17 years,5–17 years,362,11.2
SANTA CRUZ,2020,Age groups,5–17 years,5–17 years,64,14.7
SHASTA,2020,Age groups,5–17 years,5–17 years,55,19.7
SIERRA,2020,Age groups,5–17 years,5–17 years,0,0
SISKIYOU,2020,Age groups,5–17 years,5–17 years,NA,NA
SOLANO,2020,Age groups,5–17 years,5–17 years,277,38.6
SONOMA,2020,Age groups,5–17 years,5–17 years,118,17.2
STANISLAUS,2020,Age groups,5–17 years,5–17 years,361,34.3
